"id","name","description","location","address","phone","email","website","image_url","verified","price_range","status","badge","owner_id","slug","search_vector","created_at","updated_at","lat","lng","source","source_id","owner_verified","owner_verification_requested_at","owner_verification_method","owner_verification_notes","geo_point","primary_category_slug","category_raw","hours","last_activity_at","primary_subcategory_label","primary_subcategory_slug","is_system","is_hidden"
"00507f59-0cdb-498a-bd24-ebafc79a4751","ABSA","ABSA is a finance & insurance venue in Cape Town Ward 58. Public listing details may vary, so hours and services can change.","Cape Town","","","","","","false","$$","active","","","","'absa':1A,2B 'bank':5B 'cape':7B,18C 'financ':13B,16C 'finance-insur':15C 'focus':11B 'insur':14B,17C 'town':8B,19C","2025-12-11 11:49:02.323079+00","2026-02-04 18:42:49.463293+00","-33.9218267","18.4219959","overpass","osm-node-300281973","false","","","","0101000020E6100000CC8B5DEC076C3240308AD46AFEF540C0","miscellaneous","","","2025-12-11 11:49:02.323079+00","Finance & Insurance","miscellaneous","false","false"
"0094f7c9-66dc-4883-be3a-60a347150108","The Blue Cafe","The Blue Cafe is a cafe in Cape Town. Public listing details may vary, so hours and services can change.","Brownlow Road","13, Brownlow Road, Cape Town, 8001","","","","","false","$$","active","","","","'blue':2A,5B 'brownlow':12B,21C 'cafe':3A,6B,20C 'caf?':18B 'coffe':9B,19B 'focus':16B 'road':13B,22C 'shop':10B","2025-12-11 11:08:14.683731+00","2026-02-04 18:42:49.463293+00","-33.9277702","18.4050876","overpass","osm-node-2306165669","false","","","","0101000020E6100000E0032AD2B3673240089A852CC1F640C0","food-drink","","{""raw"":""Mo-Fr 07:00-22:00; Sa-Su 08:00-22:00; PH 08:00-22:00"",""friendly"":null}","2025-12-11 11:43:12.633288+00","Cafes & Coffee","cafes","false","false"
"00957bc1-dd8e-4a51-84c7-1fbd4bb5c3da","Low Seam Boulder","Low Seam Boulder is a visitor attraction in Cape Town. F6c+ FA M Janata follow low seam from left to exit up right.","Cape Town","","","","","","false","$$","active","","","","'activ':18B,21C 'boulder':3A,6B 'busi':9B 'cape':11B,22C 'famili':17B,20C 'family-act':19C 'focus':15B 'low':1A,4B 'seam':2A,5B 'town':12B,23C","2025-12-11 11:50:08.414772+00","2026-02-04 18:42:49.463293+00","-33.9529125","18.4197066","overpass","osm-node-4260143353","false","","","","0101000020E610000055EA48E4716B32408CB96B09F9F940C0","family-pets","","","2026-01-23 08:09:46.309156+00","Family Activities","family-activities","false","false"
"00daac7e-3511-48d1-9d0c-ab3fdef1fac6","The Cutting Room","The Cutting Room is a hair salons venue in Cape Town Ward 73. Public listings include a contact phone number.","Cape Town","","+27 712 2284","","","","false","$$","active","","","","'cape':11B,20C 'cut':2A,5B 'focus':15B 'hair':17B 'room':3A,6B 'salon':9B,18B,19C 'town':12B,21C","2025-12-11 11:46:39.573022+00","2026-02-04 18:42:49.463293+00","-34.0486749","18.4541871","overpass","osm-node-6715608990","false","","","","0101000020E6100000DCC3149B457432406BD1A7FA3A0641C0","beauty-wellness","","","2025-12-11 11:46:39.573022+00","Hair Salons","salons","false","false"
"014f2cab-e8f1-457a-a4bd-ef0ccc3b26b2","Nelson Mandela Boulevard","Nelson Mandela Boulevard is a major urban route in Cape Town connecting key city areas.","iKapa","iKapa","","","","","false","$$","active","","","","'boulevard':3A 'ikapa':5C 'mandela':2A 'miscellan':4B 'nelson':1A","2026-02-06 12:43:44.183041+00","2026-02-06 12:52:09.845488+00","-33.9345541486368","18.4476199756597","foursquare","4e25125e14956d3607797e82","false","","","","0101000020E6100000A57E0439977232403D5E68789FF740C0","miscellaneous","Landmarks and Outdoors","","2026-02-06 12:43:44.183041+00","Miscellaneous","miscellaneous","false","false"
"01a5153c-893c-491e-ae6e-0c876164c2ee","Eagle Eye Spur Steak Ranch","Eagle Eye Spur Steak Ranch is a family-friendly steakhouse and grill in Observatory, Cape Town.","2 Main Road, Shop No. 2 St Peters Square, Observatory, 7925","2 Main Road, Shop No. 2 St Peters Square, Observatory, 7925","+27 21 448 0921","","https://www.spursteakranches.com/za/restaurant/western-cape/cape-town/eagle-eye-spur","","false","$$","active","","","","'2':7C,12C '7925':17C 'eagl':1A 'eye':2A 'main':8C 'miscellan':6B 'observatori':16C 'peter':14C 'ranch':5A 'road':9C 'shop':10C 'spur':3A 'squar':15C 'st':13C 'steak':4A","2026-02-06 12:42:16.081235+00","2026-02-06 12:52:12.107882+00","-33.9420974728053","18.4670441280403","foursquare","4d43ef821928a35dce74b370","false","","","","0101000020E6100000D8B8373490773240EAAB65A696F840C0","miscellaneous","Steakhouse|Burger Joint","","2026-02-06 12:42:16.081235+00","Fast Food","miscellaneous","false","false"
"01c4350c-5151-47cc-84a7-e77cdb2305f4","Diocesan College","Diocesan College is a school in Cape Town. Public listing details may vary, so hours and services can change.","Cape Town","","","","","","false","$$","active","","","","'busi':7B 'cape':9B,20C 'colleg':2A,4B 'diocesan':1A,3B 'educ':15B,18C 'education-learn':17C 'focus':13B 'learn':16B,19C 'town':10B,21C","2025-12-11 11:47:38.987405+00","2026-02-04 18:42:49.463293+00","-33.9632369","18.482362","overpass","osm-node-1683116440","false","","","","0101000020E610000049D576137C7B324074E6C3584BFB40C0","professional-services","","","2026-01-23 08:09:46.309156+00","Education & Learning","education-learning","false","false"
"02407f5f-1e5d-4bcc-83d2-c061056180e1","Little Todd's educare","Little Todd's educare is a business in Cape Town with a focus on childcare.","Cape Town","","","","","","false","$$","active","","","","'busi':11B 'cape':13B,21C 'childcar':19B,20C 'educar':4A,8B 'focus':17B 'littl':1A,5B 'todd':2A,6B 'town':14B,22C","2025-12-11 11:58:20.956612+00","2026-02-04 18:42:49.463293+00","-33.9971489","18.5373545","overpass","osm-node-9473793704","false","","","","0101000020E6100000C2DB831090893240065F3D93A2FF40C0","family-pets","","","2026-01-23 08:09:46.309156+00","Childcare","childcare","false","false"
"02814766-1f1c-4184-a921-f2429fb89855","Racecourse","Racecourse is a transport & travel venue in Royal Ascot. Public listing details may vary, so hours and services can change.","Cape Town","","","","","","false","$$","active","","","","'busi':5B 'cape':7B,18C 'focus':11B 'racecours':1A,2B 'town':8B,19C 'transport':13B,16C 'transport-travel':15C 'travel':14B,17C","2025-12-11 11:48:47.058107+00","2026-02-04 18:42:49.463293+00","","","overpass","osm-way-251046151","false","","","","","miscellaneous","","","2026-01-23 08:09:46.309156+00","Transport & Travel","miscellaneous","false","false"
"02ab70c2-af0e-41bc-a9d3-e765fa5a4ae9","Signal Hill","Signal Hill is a popular Cape Town lookout for sunset views, walks, and outdoor recreation.","Signal Hill Rd (Kloof Nek Rd), iKapa","Signal Hill Rd (Kloof Nek Rd), iKapa","","","","","false","$$","active","","","","'hill':2A,5C 'ikapa':10C 'kloof':7C 'miscellan':3B 'nek':8C 'rd':6C,9C 'signal':1A,4C","2026-02-06 12:42:51.548952+00","2026-02-06 12:52:08.800499+00","-33.9179070322461","18.402374981837","foursquare","4b5c6f27f964a520a72f29e3","false","","","","0101000020E6100000F4B7FB0B02673240FD2146FA7DF540C0","outdoors-adventure","Hill|Scenic Lookout","","2026-02-06 12:42:51.548952+00","Camping","camping","false","false"
